["in","LEFT"]
["out_1","RIGHT"]
["out_2","RIGHT"]
("in","mode 1",1,"in",1,"transmission")
(102, 3)
1.8737028625000000e+14 6.3180845500922428e-02 -8.8046776642961677e-01
1.8749646152693603e+14 6.2977362357896555e-02 -8.2205499286057204e-01
1.8762263680387206e+14 6.2786201773474160e-02 -7.6388515342812990e-01
1.8774881208080809e+14 6.2610109678139736e-02 -7.0595882070427973e-01
1.8787498735774409e+14 6.2451605179381260e-02 -6.4826759126321309e-01
1.8800116263468012e+14 6.2312883873380583e-02 -5.9079439895465158e-01
1.8812733791161616e+14 6.2195726679808536e-02 -5.3351421398574361e-01
1.8825351318855219e+14 6.2101418772598463e-02 -4.7639511810753371e-01
1.8837968846548822e+14 6.2030682962625101e-02 -4.1939972119868774e-01
1.8850586374242425e+14 6.1983631375639156e-02 -3.6248686002125158e-01
1.8863203901936028e+14 6.1959738475317709e-02 -3.0561349850237662e-01
1.8875821429629628e+14 6.1957837452593298e-02 -2.4873673304397495e-01
1.8888438957323231e+14 6.1976140812142359e-02 -1.9181579799595061e-01
1.8901056485016834e+14 6.2012284727882880e-02 -1.3481396653893971e-01
1.8913674012710438e+14 6.2063395512190055e-02 -7.7700250705379212e-02
1.8926291540404041e+14 6.2126175442806075e-02 -2.0450819927406570e-02
1.8938909068097644e+14 6.2197004293922227e-02 3.6949921701562985e-02
1.8951526595791247e+14 6.2272052274011912e-02 9.4508635850663700e-02
1.8964144123484847e+14 6.2347399703498181e-02 1.5222274098548547e-01
1.8976761651178450e+14 6.2419158662956803e-02 2.1008048560835882e-01
1.8989379178872053e+14 6.2483591977576101e-02 2.6806137769914778e-01
1.9001996706565656e+14 6.2537225232341606e-02 3.2613693129900062e-01
1.9014614234259259e+14 6.2576947985356665e-02 3.8427168278030599e-01
1.9027231761952862e+14 6.2600100916269788e-02 4.4242442510191587e-01
1.9039849289646466e+14 6.2604546272705675e-02 5.0054960738051069e-01
1.9052466817340066e+14 6.2588719629595752e-02 5.5859884834887530e-01
1.9065084345033669e+14 6.2551661634921291e-02 6.1652251467406161e-01
1.9077701872727272e+14 6.2493029070378341e-02 6.7427131778319427e-01
1.9090319400420875e+14 6.2413085203450173e-02 7.3179788517164879e-01
1.9102936928114478e+14 6.2312670048150498e-02 7.8905826382918975e-01
1.9115554455808081e+14 6.2193151785278809e-02 8.4601331443156214e-01
1.9128171983501684e+14 6.2056361215871408e-02 9.0262995561155668e-01
1.9140789511195284e+14 6.1904511724263901e-02 9.5888221850362376e-01
1.9153407038888888e+14 6.1740107792658150e-02 1.0147520735641058e+00
1.9166024566582491e+14 6.1565845611794040e-02 1.0702299951771426e+00
1.9178642094276094e+14 6.1384509739482021e-02 1.1253152354627782e+00
1.9191259621969697e+14 6.1198870032488729e-02 1.1800157874890926e+00
1.9203877149663300e+14 6.1011583179174635e-02 1.2343480298897267e+00
1.9216494677356903e+14 6.0825103056666337e-02 1.2883360593831623e+00
